;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;COM06992 Estrutura_de_Dados_I;;
09h00;;;;COM06992 Estrutura_de_Dados_I;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;COM06992 Estrutura_de_Dados_I;
14h30;;;;;COM06992 Estrutura_de_Dados_I;
15h30;;;;;;
16h30;;;;;;
18h20;;;COM10078 Estrutura_de_Dados_II;;;
19h10;;;COM10078 Estrutura_de_Dados_II;;;
20h00;;;;COM10078 Estrutura_de_Dados_II;;
21h00;;;;COM10078 Estrutura_de_Dados_II;;
21h50;;;;;;
