;SEG;TER;QUA;QUI;SEX;
07h00;71 Informatica EF 1 ROMULO S-40 O-40 ;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
08h00;71 Informatica EF 1 ROMULO S-40 O-40 ;70 Informatica AG 1 ROMULO S-40 O-40 ;;;16 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;
09h00;71 Informatica EF 1 ROMULO S-40 O-40 ;70 Informatica AG 1 ROMULO S-40 O-40 ;;;16 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;
10h00;;11 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;;;;
11h00;;11 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;;;;
13h30;;23 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;
14h30;;23 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;
15h30;;;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;77 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;76 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;
16h30;;;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;77 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;76 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;
18h20;;75 Programacao_I SI 1 ROMULO S-40 O-30 ;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;72 Programacao_I MA 1 ROMULO S-40 O-28 ;59 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;
19h10;;75 Programacao_I SI 1 ROMULO S-40 O-30 ;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;72 Programacao_I MA 1 ROMULO S-40 O-28 ;59 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;
20h00;;49 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;69 Seguranca_em_Redes SI 8 HELDER_DE_AMORIM_MENDES S-40 O-20 ;55 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-40 O-20 ;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;
21h00;;49 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;69 Seguranca_em_Redes SI 8 HELDER_DE_AMORIM_MENDES S-40 O-20 ;55 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-40 O-20 ;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;
21h50;;;;;;
