;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;COM10078 Estrutura_de_Dados_II CC-1 MARCELO Vg-30 ;ENG05510 Estatistica PN-12 Prof_Estatistica_Basica Vg-40 ;COM10082 Programacao_II CC-2 BRUNO_VILELA_OLIVEIRA Vg-30 ;ENG05510 Estatistica PN-12 Prof_Estatistica_Basica Vg-40 ;COM10082 Programacao_II CC-1 BRUNO_VILELA_OLIVEIRA Vg-30 ;
19h10;COM10078 Estrutura_de_Dados_II CC-1 MARCELO Vg-30 ;ENG05510 Estatistica PN-12 Prof_Estatistica_Basica Vg-40 ;COM10082 Programacao_II CC-2 BRUNO_VILELA_OLIVEIRA Vg-30 ;ENG05510 Estatistica PN-12 Prof_Estatistica_Basica Vg-40 ;COM10082 Programacao_II CC-1 BRUNO_VILELA_OLIVEIRA Vg-30 ;
20h00;COM10275 Engenharia_de_Requisitos_de_Software CC-2 ANDRE Vg-40 ;COM10078 Estrutura_de_Dados_II CC-3 MARCELO Vg-30 ;COM10076 Arquitetura_de_Computadores PN-12 VALERIA_ALVES_DA_SILVA Vg-50 ;COM10076 Arquitetura_de_Computadores MA-0 VALERIA_ALVES_DA_SILVA Vg-50 ;COM10275 Engenharia_de_Requisitos_de_Software CC-3 ANDRE Vg-40 ;
21h00;COM10275 Engenharia_de_Requisitos_de_Software CC-2 ANDRE Vg-40 ;COM10078 Estrutura_de_Dados_II CC-3 MARCELO Vg-30 ;COM10076 Arquitetura_de_Computadores PN-12 VALERIA_ALVES_DA_SILVA Vg-50 ;COM10076 Arquitetura_de_Computadores MA-0 VALERIA_ALVES_DA_SILVA Vg-50 ;COM10275 Engenharia_de_Requisitos_de_Software CC-3 ANDRE Vg-40 ;
21h50;;;;;;
