;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;30 Sistemas_Distribuidos CC 6 FABRICIO S-20 O-20 ;;
09h00;;;;30 Sistemas_Distribuidos CC 6 FABRICIO S-20 O-20 ;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-20 O-20 ;;;
16h30;;;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-20 O-20 ;;;
18h20;66 Gestao_Qualidade_de_Software SI 8 ANDRE S-20 O-20 ;53 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-20 O-20 ;54 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-20 O-20 ;59 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-20 O-20 ;58 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-20 O-20 ;
19h10;66 Gestao_Qualidade_de_Software SI 8 ANDRE S-20 O-20 ;53 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-20 O-20 ;54 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-20 O-20 ;59 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-20 O-20 ;58 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-20 O-20 ;
20h00;;62 Desenvolvimento_de_Sistemas_para_WEB SI 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-20 O-20 ;;;55 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-20 O-20 ;
21h00;;62 Desenvolvimento_de_Sistemas_para_WEB SI 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-20 O-20 ;;;55 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-20 O-20 ;
21h50;;;;;;
