;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;COM11211 Gestao_Qualidade_de_Software RN-7 ANDRE Vg-20 ;COM11211 Gestao_Qualidade_de_Software CC-1 ANDRE Vg-20 ;COM10608 Gerenciamento_Administracao_Redes CC-1 HELDER_DE_AMORIM_MENDES Vg-20 ;CFM11061 Empreendedorismo PN-1 Wendel Vg-40 ;ENG10792 Seguranca_em_Redes RN-7 HELDER_DE_AMORIM_MENDES Vg-20 ;
19h10;COM11211 Gestao_Qualidade_de_Software RN-7 ANDRE Vg-20 ;COM11211 Gestao_Qualidade_de_Software CC-1 ANDRE Vg-20 ;COM10608 Gerenciamento_Administracao_Redes CC-1 HELDER_DE_AMORIM_MENDES Vg-20 ;CFM11061 Empreendedorismo PN-1 Wendel Vg-40 ;ENG10792 Seguranca_em_Redes RN-7 HELDER_DE_AMORIM_MENDES Vg-20 ;
20h00;COM10396 Desenvolvimento_de_Sistemas_para_WEB RN-6 JACSON_RODRIGUES_CORREIA_DA_SILVA Vg-20 ;COM10396 Desenvolvimento_de_Sistemas_para_WEB RN-7 JACSON_RODRIGUES_CORREIA_DA_SILVA Vg-20 ;ENG10792 Seguranca_em_Redes RN-6 HELDER_DE_AMORIM_MENDES Vg-20 ;;COM10608 Gerenciamento_Administracao_Redes CC-3 HELDER_DE_AMORIM_MENDES Vg-20 ;
21h00;COM10396 Desenvolvimento_de_Sistemas_para_WEB RN-6 JACSON_RODRIGUES_CORREIA_DA_SILVA Vg-20 ;COM10396 Desenvolvimento_de_Sistemas_para_WEB RN-7 JACSON_RODRIGUES_CORREIA_DA_SILVA Vg-20 ;ENG10792 Seguranca_em_Redes RN-6 HELDER_DE_AMORIM_MENDES Vg-20 ;;COM10608 Gerenciamento_Administracao_Redes CC-3 HELDER_DE_AMORIM_MENDES Vg-20 ;
21h50;;;;;;
