;SEG;TER;QUA;QUI;SEX;
07h00;71 Informatica EF 1 ROMULO S-40 O-40 ;;;;;
08h00;71 Informatica EF 1 ROMULO S-40 O-40 ;;;;;
09h00;71 Informatica EF 1 ROMULO S-40 O-40 ;;;;;
10h00;11 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;;;33 Topicos_Especiais_Programacao CC 6 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;
11h00;11 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;;;33 Topicos_Especiais_Programacao CC 6 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;
13h30;;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;;9 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;
14h30;;;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;;9 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;
15h30;;;34 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;
16h30;;;34 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;
18h20;53 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;;72 Programacao_I MA 1 ROMULO S-40 O-28 ;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;59 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;
19h10;53 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;;72 Programacao_I MA 1 ROMULO S-40 O-28 ;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;59 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;
20h00;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;74 Programacao_I SI 1 ROMULO S-40 O-30 ;;50 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;;
21h00;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;74 Programacao_I SI 1 ROMULO S-40 O-30 ;;50 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;;
21h50;;;;;;
