;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;17 Sistemas_Operacionais CC 4 FABRICIO S-40 O-20 ;1 circuitos_Digitais CC 2 ROMULO S-40 O-30 ;7 Algoritmos_Numericos CC 4 Prof_Algoritmos_Numericos S-40 O-30 ;
11h00;;;17 Sistemas_Operacionais CC 4 FABRICIO S-40 O-20 ;1 circuitos_Digitais CC 2 ROMULO S-40 O-30 ;7 Algoritmos_Numericos CC 4 Prof_Algoritmos_Numericos S-40 O-30 ;
13h30;;14 Linguagens_Formais_Automatos CC 4 JULIANA_PINHEIRO_CAMPOS S-40 O-30 ;22 Analise_Proj_Algoritmos CC 6 RODRIGO_FREITAS_SILVA S-40 O-30 ;;21 Analise_Proj_Algoritmos CC 6 RODRIGO_FREITAS_SILVA S-40 O-30 ;
14h30;;14 Linguagens_Formais_Automatos CC 4 JULIANA_PINHEIRO_CAMPOS S-40 O-30 ;22 Analise_Proj_Algoritmos CC 6 RODRIGO_FREITAS_SILVA S-40 O-30 ;;21 Analise_Proj_Algoritmos CC 6 RODRIGO_FREITAS_SILVA S-40 O-30 ;
15h30;90 Empreendedorismo CC 8 Wendel S-40 O-30 ;;0 circuitos_Digitais CC 2 VALERIA_ALVES_DA_SILVA S-40 O-30 ;;;
16h30;90 Empreendedorismo CC 8 Wendel S-40 O-30 ;;0 circuitos_Digitais CC 2 VALERIA_ALVES_DA_SILVA S-40 O-30 ;;;
18h20;;;;;;
19h10;;;;;;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
