;SEG;TER;QUA;QUI;SEX;
07h00;;;;;71 Informatica EF 1 ROMULO S-40 O-40 ;
08h00;;;;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;71 Informatica EF 1 ROMULO S-40 O-40 ;
09h00;;;;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;71 Informatica EF 1 ROMULO S-40 O-40 ;
10h00;;;;;;
11h00;;;;;;
13h30;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;32 Topicos_Especiais_Programacao CC 6 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;16 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;2 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;
14h30;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;32 Topicos_Especiais_Programacao CC 6 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;16 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;2 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;
15h30;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;35 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;
16h30;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;35 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;
18h20;72 Programacao_I MA 1 ROMULO S-40 O-28 ;39 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;54 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;49 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;
19h10;72 Programacao_I MA 1 ROMULO S-40 O-28 ;39 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;54 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;49 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;
20h00;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;;;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;;
21h00;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;;;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;;
21h50;;;;;;
