;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;COM11013 Topicos_Especiais_Otimizacao;
14h30;;;;;COM11013 Topicos_Especiais_Otimizacao;
15h30;;;;COM11013 Topicos_Especiais_Otimizacao;;
16h30;;;;COM11013 Topicos_Especiais_Otimizacao;;
18h20;;;;;;
19h10;;;;;;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
