;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;16 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;
09h00;;;;;16 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;
10h00;;;;;;
11h00;;;;;;
13h30;29 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;
14h30;29 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;
15h30;;;35 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;;
16h30;;;35 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;;
18h20;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;;58 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;61 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-40 O-20 ;75 Programacao_I SI 1 ROMULO S-40 O-30 ;
19h10;46 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;;58 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;61 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-40 O-20 ;75 Programacao_I SI 1 ROMULO S-40 O-30 ;
20h00;50 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;39 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;;47 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;
21h00;50 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;39 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;;47 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;
21h50;;;;;;
