;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;31 Sistemas_Distribuidos CC 6 FABRICIO S-20 O-20 ;;;
09h00;;;31 Sistemas_Distribuidos CC 6 FABRICIO S-20 O-20 ;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-20 O-20 ;;
14h30;;;;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-20 O-20 ;;
15h30;;;;;;
16h30;;;;;;
18h20;;;;;;
19h10;;;;;;
20h00;60 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-20 O-20 ;;;62 Desenvolvimento_de_Sistemas_para_WEB SI 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-20 O-20 ;;
21h00;60 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-20 O-20 ;;;62 Desenvolvimento_de_Sistemas_para_WEB SI 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-20 O-20 ;;
21h50;;;;;;
