;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;COM10133 Teoria_Grafos;;
11h00;;;;COM10133 Teoria_Grafos;;
13h30;;COM10133 Teoria_Grafos;;;;
14h30;;COM10133 Teoria_Grafos;;;;
15h30;;;;;;
16h30;;;;;;
18h20;;COM06851 Matematica_Discreta;;COM06851 Matematica_Discreta;;
19h10;;COM06851 Matematica_Discreta;;COM06851 Matematica_Discreta;;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
