;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;2 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;;;
09h00;;;2 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;;;
10h00;;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;;
11h00;;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;;3 Estrutura_de_Dados_I CC 2 MARCELO S-40 O-40 ;;
13h30;;11 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;33 Topicos_Especiais_Programacao CC 6 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;12 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;
14h30;;11 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;33 Topicos_Especiais_Programacao CC 6 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;12 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;
15h30;;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;
16h30;;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;
18h20;;;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;;63 Desenvolvimento_de_Sistemas_para_WEB SI 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-20 ;
19h10;;;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;;63 Desenvolvimento_de_Sistemas_para_WEB SI 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-20 ;
20h00;;;;;55 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-40 O-20 ;
21h00;;;;;55 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-40 O-20 ;
21h50;;;;;;
