;SEG;TER;QUA;QUI;SEX;
07h00;;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
08h00;;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
09h00;;70 Informatica AG 1 ROMULO S-40 O-40 ;;;;
10h00;;;;;;
11h00;;;;;;
13h30;12 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;;10 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;76 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;
14h30;12 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;;10 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;76 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;
15h30;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;;
16h30;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;;;
18h20;;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;65 Gerenciamento_Administracao_Redes SI 8 HELDER_DE_AMORIM_MENDES S-40 O-20 ;73 Programacao_I MA 1 ROMULO S-40 O-28 ;;
19h10;;67 Gestao_Qualidade_de_Software SI 8 ANDRE S-40 O-20 ;65 Gerenciamento_Administracao_Redes SI 8 HELDER_DE_AMORIM_MENDES S-40 O-20 ;73 Programacao_I MA 1 ROMULO S-40 O-28 ;;
20h00;;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;60 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-40 O-20 ;;58 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;
21h00;;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;60 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-40 O-20 ;;58 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;
21h50;;;;;;
