;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;COM10130 Linguagens_Formais_Automatos PC-9 JULIANA_PINHEIRO_CAMPOS Vg-30 ;COM10133 Teoria_Grafos PN-1 EDMAR_HELL_KAMPKE Vg-30 ;COM10128 Algoritmos_Numericos PN-1 Prof_Algoritmos_Numericos Vg-30 ;COM10131 Otimizacao_Linear CC-2 GERALDO_REGIS_MAURI Vg-30 ;;
09h00;COM10130 Linguagens_Formais_Automatos PC-9 JULIANA_PINHEIRO_CAMPOS Vg-30 ;COM10133 Teoria_Grafos PN-1 EDMAR_HELL_KAMPKE Vg-30 ;COM10128 Algoritmos_Numericos PN-1 Prof_Algoritmos_Numericos Vg-30 ;COM10131 Otimizacao_Linear CC-2 GERALDO_REGIS_MAURI Vg-30 ;;
10h00;COM10015 Engenharia_de_Software CC-2 ANDRE Vg-30 ;COM10129 Banco_de_Dados CC-2 LEANDRO Vg-30 ;COM10129 Banco_de_Dados CC-1 LEANDRO Vg-30 ;COM10128 Algoritmos_Numericos PC-4 Prof_Algoritmos_Numericos Vg-30 ;COM10015 Engenharia_de_Software CC-1 ANDRE Vg-30 ;
11h00;COM10015 Engenharia_de_Software CC-2 ANDRE Vg-30 ;COM10129 Banco_de_Dados CC-2 LEANDRO Vg-30 ;COM10129 Banco_de_Dados CC-1 LEANDRO Vg-30 ;COM10128 Algoritmos_Numericos PC-4 Prof_Algoritmos_Numericos Vg-30 ;COM10015 Engenharia_de_Software CC-1 ANDRE Vg-30 ;
13h30;COM10132 Sistemas_Operacionais PC-9 FABRICIO Vg-20 ;COM10130 Linguagens_Formais_Automatos PN-1 JULIANA_PINHEIRO_CAMPOS Vg-30 ;COM10131 Otimizacao_Linear CC-3 GERALDO_REGIS_MAURI Vg-30 ;COM10133 Teoria_Grafos PN-1 EDMAR_HELL_KAMPKE Vg-30 ;COM10132 Sistemas_Operacionais PC-4 FABRICIO Vg-20 ;
14h30;COM10132 Sistemas_Operacionais PC-9 FABRICIO Vg-20 ;COM10130 Linguagens_Formais_Automatos PN-1 JULIANA_PINHEIRO_CAMPOS Vg-30 ;COM10131 Otimizacao_Linear CC-3 GERALDO_REGIS_MAURI Vg-30 ;COM10133 Teoria_Grafos PN-1 EDMAR_HELL_KAMPKE Vg-30 ;COM10132 Sistemas_Operacionais PC-4 FABRICIO Vg-20 ;
15h30;;;;;;
16h30;;;;;;
18h20;;;;;;
19h10;;;;;;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
