;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;11 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;12 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;
09h00;;;;11 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;12 Engenharia_de_Software CC 4 ANDRE S-40 O-30 ;
10h00;23 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;16 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;;;;
11h00;23 Computacao_Grafica CC 6 FABRICIO S-40 O-30 ;16 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;;;;
13h30;;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;
14h30;;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;79 Logica_e_Tecnica_de_Programacao GE 7 LEANDRO S-40 O-40 ;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;
15h30;;76 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;27 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;;
16h30;;76 Logica_e_Tecnica_de_Programacao EA 3 LEANDRO S-40 O-40 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;27 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;;
18h20;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;72 Programacao_I MA 1 ROMULO S-40 O-28 ;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;;54 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;
19h10;51 Programacao_II SI 4 BRUNO_VILELA_OLIVEIRA S-40 O-30 ;72 Programacao_I MA 1 ROMULO S-40 O-28 ;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;;54 Gerencia_de_Projeto_de_Software SI 6 ANDRE S-40 O-20 ;
20h00;;;60 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-40 O-20 ;;55 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-40 O-20 ;
21h00;;;60 Redes_de_Computadores SI 6 RODRIGO_FREITAS_SILVA S-40 O-20 ;;55 Gerenciamento_de_Banco_de_Dados SI 6 LEANDRO S-40 O-20 ;
21h50;;;;;;
