;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;;;;
14h30;;;;;;
15h30;;;;;;
16h30;;;;;;
18h20;;87 Estatistica SI 4 Prof_Estatistica_Basica S-65 O-40 ;;88 Estatistica SI 4 Prof_Estatistica_Basica S-65 O-40 ;;
19h10;;87 Estatistica SI 4 Prof_Estatistica_Basica S-65 O-40 ;;88 Estatistica SI 4 Prof_Estatistica_Basica S-65 O-40 ;;
20h00;;;43 Teoria_Geral_Sistemas SI 2 SIMONE_DORNELAS_COSTA S-65 O-40 ;;;
21h00;;;43 Teoria_Geral_Sistemas SI 2 SIMONE_DORNELAS_COSTA S-65 O-40 ;;;
21h50;;;;;;
