;SEG;TER;QUA;QUI;SEX;
07h00;;;;71 Informatica EF 1 ROMULO S-40 O-40 ;;
08h00;10 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;9 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;71 Informatica EF 1 ROMULO S-40 O-40 ;;
09h00;10 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;15 Otimizacao_Linear CC 4 GERALDO_REGIS_MAURI S-40 O-30 ;9 Banco_de_Dados CC 4 LEANDRO S-40 O-30 ;71 Informatica EF 1 ROMULO S-40 O-40 ;;
10h00;;;;;;
11h00;;;;;;
13h30;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;27 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;;
14h30;28 Projeto_de_Sistemas_de_Software CC 6 ANDRE S-40 O-30 ;27 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;;30 Sistemas_Distribuidos CC 6 FABRICIO S-40 O-20 ;;
15h30;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;35 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;
16h30;26 Interface_Humano-Computador CC 6 SIMONE_DORNELAS_COSTA S-40 O-20 ;36 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;37 Topicos_Especiais_Otimizacao CC 8 DAYAN S-40 O-30 ;35 Topicos_Especiais_Inteligencia_Artificial CC 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-30 ;;
18h20;;74 Programacao_I SI 1 ROMULO S-40 O-30 ;58 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;;
19h10;;74 Programacao_I SI 1 ROMULO S-40 O-30 ;58 Metodos_de_Otimizacao SI 6 GERALDO_REGIS_MAURI S-40 O-20 ;38 Fundamentos_de_Programacao_Web SI 2 BRUNO_VILELA_OLIVEIRA S-40 O-40 ;;
20h00;49 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;68 Seguranca_em_Redes SI 8 HELDER_DE_AMORIM_MENDES S-40 O-20 ;47 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;62 Desenvolvimento_de_Sistemas_para_WEB SI 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-20 ;
21h00;49 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;48 Estrutura_de_Dados_II SI 4 MARCELO S-40 O-30 ;68 Seguranca_em_Redes SI 8 HELDER_DE_AMORIM_MENDES S-40 O-20 ;47 Engenharia_de_Requisitos_de_Software SI 4 ANDRE S-40 O-40 ;62 Desenvolvimento_de_Sistemas_para_WEB SI 8 JACSON_RODRIGUES_CORREIA_DA_SILVA S-40 O-20 ;
21h50;;;;;;
