;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;19 Teoria_Grafos CC 4 EDMAR_HELL_KAMPKE S-55 O-30 ;20 Teoria_Grafos CC 4 EDMAR_HELL_KAMPKE S-55 O-30 ;;;
11h00;;19 Teoria_Grafos CC 4 EDMAR_HELL_KAMPKE S-55 O-30 ;20 Teoria_Grafos CC 4 EDMAR_HELL_KAMPKE S-55 O-30 ;;;
13h30;92 Portugues_instrumental CC 2 Alexandre_Rosa S-55 O-30 ;80 Cálculo_B CC 2 Ana_Clara S-55 O-30 ;6 Logica_Computacional CC 2 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;81 Cálculo_B CC 2 Ana_Clara S-55 O-30 ;;
14h30;92 Portugues_instrumental CC 2 Alexandre_Rosa S-55 O-30 ;80 Cálculo_B CC 2 Ana_Clara S-55 O-30 ;6 Logica_Computacional CC 2 JULIANA_PINHEIRO_CAMPOS S-55 O-30 ;81 Cálculo_B CC 2 Ana_Clara S-55 O-30 ;;
15h30;;82 Algebra_linear CC 2 Gabriel S-55 O-21 ;;83 Algebra_linear CC 2 Gabriel S-55 O-21 ;;
16h30;;82 Algebra_linear CC 2 Gabriel S-55 O-21 ;;83 Algebra_linear CC 2 Gabriel S-55 O-21 ;;
18h20;;;;;;
19h10;;;;;;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
