;SEG;TER;QUA;QUI;SEX;
07h00;;;;;;
08h00;;;;;;
09h00;;;;;;
10h00;;;;;;
11h00;;;;;;
13h30;;;COM11608 Topicos_Especiais_Inteligencia_Artificial CC-3 JACSON_RODRIGUES_CORREIA_DA_SILVA Vg-30 ;;;
14h30;;;COM11608 Topicos_Especiais_Inteligencia_Artificial CC-3 JACSON_RODRIGUES_CORREIA_DA_SILVA Vg-30 ;;;
15h30;CFM11061 Empreendedorismo PC-9 Wendel Vg-30 ;COM11608 Topicos_Especiais_Inteligencia_Artificial CC-2 JACSON_RODRIGUES_CORREIA_DA_SILVA Vg-30 ;;COM11013 Topicos_Especiais_Otimizacao CC-3 DAYAN Vg-30 ;COM11013 Topicos_Especiais_Otimizacao CC-2 DAYAN Vg-30 ;
16h30;CFM11061 Empreendedorismo PC-9 Wendel Vg-30 ;COM11608 Topicos_Especiais_Inteligencia_Artificial CC-2 JACSON_RODRIGUES_CORREIA_DA_SILVA Vg-30 ;;COM11013 Topicos_Especiais_Otimizacao CC-3 DAYAN Vg-30 ;COM11013 Topicos_Especiais_Otimizacao CC-2 DAYAN Vg-30 ;
18h20;;;;;;
19h10;;;;;;
20h00;;;;;;
21h00;;;;;;
21h50;;;;;;
